:cylinders, $displacement, $horsepower, <weight, >acceleration,$model, :origin, >!mpg
8, 304.0, 193, 4732, 18.5, 70, 1, 10
8, 360, 215, 4615, 14, 70, 1, 10
8, 307, 200, 4376, 15, 70, 1, 10
8, 318, 210, 4382, 13.5, 70, 1, 10
8, 429, 208, 4633, 11, 72, 1, 10
8, 400, 150, 4997, 14, 73, 1, 10
8, 350, 180, 3664, 11, 73, 1, 10
8, 383, 180, 4955, 11.5, 71, 1, 10
8, 350, 160, 4456, 13.5, 72, 1, 10
8, 429, 198, 4952, 11.5, 73, 1, 10
8, 455, 225, 4951, 11, 73, 1, 10
8, 400, 167, 4906, 12.5, 73, 1, 10
8, 350, 180, 4499, 12.5, 73, 1, 10
8, 400, 170, 4746, 12, 71, 1, 10
8, 400, 175, 5140, 12, 71, 1, 10
8, 350, 165, 4274, 12, 72, 1, 10
8, 350, 155, 4502, 13.5, 72, 1, 10
8, 400, 190, 4422, 12.5, 72, 1, 10
8, 307, 130, 4098, 14, 72, 1, 10
8, 302, 140, 4294, 16, 72, 1, 10
8, 350, 175, 4100, 13, 73, 1, 10
8, 350, 145, 3988, 13, 73, 1, 10
8, 400, 150, 4464, 12, 73, 1, 10
8, 351, 158, 4363, 13, 73, 1, 10
8, 440, 215, 4735, 11, 73, 1, 10
8, 360, 175, 3821, 11, 73, 1, 10
8, 360, 170, 4654, 13, 73, 1, 10
8, 350, 150, 4699, 14.5, 74, 1, 10
8, 302, 129, 3169, 12, 75, 1, 10
